"","year","county","dem","rep","dem_v","dem_s","rep_v","rep_s"
"248",2016,8063,"Hillary Clinton","Donald J. Trump",536,"14.48%",2967,"80.15%"
"249",2016,8065,"Hillary Clinton","Donald J. Trump",1616,"50.52%",1270,"39.70%"
"250",2016,8067,"Hillary Clinton","Donald J. Trump",15525,"49.84%",12587,"40.41%"
"251",2016,8069,"Hillary Clinton","Donald J. Trump",93113,"47.51%",83430,"42.57%"
"252",2016,8071,"Hillary Clinton","Donald J. Trump",2650,"39.01%",3710,"54.62%"
"253",2016,8073,"Hillary Clinton","Donald J. Trump",409,"16.79%",1892,"77.67%"
"254",2016,8075,"Hillary Clinton","Donald J. Trump",1851,"19.04%",7282,"74.90%"
"255",2016,8077,"Hillary Clinton","Donald J. Trump",21729,"27.98%",49779,"64.10%"
"256",2016,8079,"Hillary Clinton","Donald J. Trump",237,"36.35%",344,"52.76%"
"257",2016,8081,"Hillary Clinton","Donald J. Trump",874,"13.39%",5305,"81.30%"
"258",2016,8083,"Hillary Clinton","Donald J. Trump",3973,"30.90%",7853,"61.07%"
"259",2016,8085,"Hillary Clinton","Donald J. Trump",5466,"25.80%",14382,"67.88%"
"260",2016,8087,"Hillary Clinton","Donald J. Trump",3151,"26.35%",8145,"68.10%"
"261",2016,8089,"Hillary Clinton","Donald J. Trump",2943,"34.82%",4928,"58.31%"
"262",2016,8091,"Hillary Clinton","Donald J. Trump",1697,"51.27%",1351,"40.82%"
"263",2016,8093,"Hillary Clinton","Donald J. Trump",3421,"32.84%",6135,"58.89%"
"264",2016,8095,"Hillary Clinton","Donald J. Trump",436,"18.70%",1791,"76.80%"
"265",2016,8097,"Hillary Clinton","Donald J. Trump",7333,"69.69%",2550,"24.23%"
"266",2016,8099,"Hillary Clinton","Donald J. Trump",1186,"23.64%",3531,"70.39%"
"267",2016,8101,"Hillary Clinton","Donald J. Trump",35875,"45.62%",36265,"46.11%"
"268",2016,8103,"Hillary Clinton","Donald J. Trump",436,"12.64%",2791,"80.90%"
"269",2016,8105,"Hillary Clinton","Donald J. Trump",2001,"36.16%",3085,"55.75%"
"270",2016,8107,"Hillary Clinton","Donald J. Trump",7600,"54.34%",5230,"37.39%"
"271",2016,8109,"Hillary Clinton","Donald J. Trump",1417,"49.98%",1147,"40.46%"
"272",2016,8111,"Hillary Clinton","Donald J. Trump",265,"52.37%",215,"42.49%"
"273",2016,8113,"Hillary Clinton","Donald J. Trump",2975,"68.72%",1033,"23.86%"
"274",2016,8115,"Hillary Clinton","Donald J. Trump",267,"19.57%",1015,"74.41%"
"275",2016,8117,"Hillary Clinton","Donald J. Trump",9557,"59.09%",5100,"31.53%"
"276",2016,8119,"Hillary Clinton","Donald J. Trump",3603,"24.94%",9745,"67.47%"
"277",2016,8121,"Hillary Clinton","Donald J. Trump",296,"10.83%",2299,"84.12%"
"278",2016,8123,"Hillary Clinton","Donald J. Trump",46519,"34.35%",76651,"56.60%"
"279",2016,8125,"Hillary Clinton","Donald J. Trump",726,"15.15%",3850,"80.36%"
"280",2016,9001,"Hillary Clinton","Donald J. Trump",243852,"57.89%",160077,"38.00%"
"281",2016,9003,"Hillary Clinton","Donald J. Trump",240403,"59.09%",148173,"36.42%"
"282",2016,9005,"Hillary Clinton","Donald J. Trump",39775,"40.82%",53051,"54.44%"
"283",2016,9007,"Hillary Clinton","Donald J. Trump",45357,"51.18%",38867,"43.86%"
"284",2016,9009,"Hillary Clinton","Donald J. Trump",205609,"54.25%",159048,"41.96%"
